n,rt_qs,rt_ms,c_qs,c_ms
100,12,86,696,316
100,12,69,584,316
100,18,88,637,316
100,15,84,638,316
100,15,81,633,316
100,16,76,685,316
100,14,77,656,316
100,15,67,569,316
100,12,64,595,316
100,12,63,610,316
100,13,62,645,316
100,12,62,648,316
100,12,78,631,316
100,13,65,553,316
100,16,80,597,316
100,20,75,684,316
100,13,64,595,316
100,16,70,641,316
100,12,73,746,316
100,14,70,569,316
100,23,90,581,316
100,16,97,738,316
100,15,66,645,316
100,15,84,696,316
100,16,64,697,316
100,13,70,707,316
100,17,72,628,316
100,17,64,650,316
100,14,65,642,316
100,15,67,584,316
100,15,81,599,316
100,16,83,668,316
100,15,76,599,316
100,13,71,652,316
100,15,68,712,316
100,14,73,582,316
100,14,95,573,316
100,13,66,627,316
100,16,71,684,316
100,12,65,649,316
100,16,68,642,316
100,16,81,670,316
100,16,81,658,316
100,17,84,670,316
100,16,83,603,316
100,16,82,739,316
100,41,83,583,316
100,17,73,657,316
100,15,80,578,316
100,15,73,569,316
100,16,72,601,316
100,205,107,642,316
100,15,81,566,316
100,16,81,629,316
100,18,73,714,316
100,31,71,571,316
100,16,96,587,316
100,16,100,651,316
100,19,79,718,316
100,22,66,728,316
100,14,70,576,316
100,15,76,589,316
100,16,83,645,316
100,16,81,693,316
100,16,80,667,316
100,15,79,640,316
100,15,73,616,316
100,15,83,629,316
100,16,76,694,316
100,16,85,592,316
100,16,73,655,316
100,14,68,561,316
100,14,79,682,316
100,14,82,608,316
100,16,69,731,316
100,17,67,683,316
100,16,72,692,316
100,16,80,585,316
100,15,85,641,316
100,17,83,717,316
100,16,71,708,316
100,16,67,706,316
100,17,81,710,316
100,12,75,664,316
100,16,64,605,316
100,16,65,789,316
100,16,79,715,316
100,13,64,669,316
100,13,95,573,316
100,16,79,654,316
100,15,85,586,316
100,16,68,630,316
100,14,79,608,316
100,15,65,649,316
100,16,69,738,316
100,15,74,645,316
100,16,64,669,316
100,15,72,685,316
100,16,77,609,316
100,15,94,750,316
100,15,77,654,316
100,14,73,590,316
100,15,81,683,316
100,16,74,624,316
100,14,69,642,316
100,17,81,663,316
100,13,66,636,316
100,16,79,628,316
100,12,69,610,316
100,17,81,716,316
100,16,83,697,316
100,16,92,649,316
100,24,91,590,316
100,12,64,555,316
100,16,82,649,316
100,14,84,569,316
100,12,76,705,316
100,16,70,633,316
100,14,74,624,316
100,14,76,591,316
100,11,64,627,316
100,27,83,577,316
100,15,82,744,316
100,15,116,591,316
100,14,70,666,316
100,17,82,701,316
100,16,81,629,316
100,15,75,686,316
100,14,66,618,316
100,12,66,657,316
100,16,74,651,316
100,14,68,726,316
100,17,83,581,316
100,18,82,603,316
100,17,81,660,316
100,20,104,597,316
100,18,109,643,316
100,19,81,698,316
100,20,97,653,316
100,22,92,787,316
100,20,91,831,316
100,19,98,620,316
100,18,105,580,316
100,17,78,646,316
100,17,86,587,316
100,18,87,541,316
100,18,98,694,316
100,16,77,805,316
100,18,83,606,316
100,18,98,605,316
100,19,89,702,316
100,22,99,811,316
100,14,78,624,316
100,19,92,821,316
100,19,103,626,316
100,17,87,565,316
100,15,77,579,316
100,17,88,609,316
100,16,91,622,316
100,18,99,599,316
100,19,99,602,316
100,17,89,659,316
100,18,85,730,316
100,15,77,659,316
100,18,96,555,316
100,14,89,626,316
100,14,78,667,316
100,19,85,744,316
100,19,95,607,316
100,18,80,669,316
100,57,106,595,316
100,17,91,569,316
100,29,95,608,316
100,18,92,592,316
100,17,115,635,316
100,19,96,576,316
100,18,94,646,316
100,17,95,566,316
100,19,96,616,316
100,18,105,621,316
100,32,99,593,316
100,17,373,572,316
100,19,107,713,316
100,19,118,670,316
100,50,110,594,316
100,19,156,640,316
100,21,87,755,316
100,18,97,707,316
100,20,97,729,316
100,20,80,670,316
100,21,83,656,316
100,18,100,582,316
100,18,96,639,316
100,19,95,617,316
100,18,81,741,316
100,17,80,610,316
100,15,76,653,316
100,14,77,584,316
100,18,96,639,316
100,17,92,587,316
100,20,99,666,316
100,19,98,624,316
100,19,128,671,316
100,19,87,610,316
100,16,93,647,316
100,18,83,606,316
100,18,110,684,316
100,15,77,573,316
100,20,81,675,316
100,17,88,689,316
100,18,100,701,316
100,18,83,624,316
100,17,88,645,316
100,15,76,651,316
100,18,88,674,316
100,20,98,622,316
100,17,76,706,316
100,18,100,597,316
100,16,77,661,316
100,20,77,791,316
100,21,83,769,316
100,17,82,650,316
100,19,99,576,316
100,17,141,628,316
100,17,81,602,316
100,13,76,649,316
100,15,75,607,316
100,18,91,709,316
100,18,99,605,316
100,15,77,763,316
100,21,97,762,316
100,14,77,729,316
100,22,82,783,316
100,17,88,678,316
100,17,82,672,316
100,20,121,740,316
100,20,112,628,316
100,15,77,637,316
100,21,98,784,316
100,19,97,580,316
100,17,78,684,316
100,14,76,612,316
100,17,79,631,316
100,14,80,583,316
100,17,86,587,316
100,18,94,623,316
100,20,94,687,316
100,16,80,582,316
100,20,91,732,316
100,15,140,725,316
100,15,76,584,316
100,18,78,638,316
100,16,78,660,316
100,18,75,631,316
100,19,91,596,316
100,15,79,649,316
100,19,79,704,316
100,15,83,591,316
100,19,96,734,316
100,18,96,678,316
100,18,85,726,316
100,19,85,621,316
100,17,91,549,316
100,15,81,600,316
100,14,77,592,316
100,17,92,575,316
100,17,87,598,316
100,19,77,617,316
100,17,91,636,316
100,30,97,639,316
100,22,89,770,316
100,18,98,659,316
100,27,97,735,316
100,15,76,637,316
100,17,80,673,316
100,17,86,620,316
100,18,93,583,316
100,18,80,644,316
100,32,96,610,316
100,19,97,649,316
100,19,84,653,316
100,21,97,705,316
100,19,95,680,316
100,20,93,675,316
100,18,99,626,316
100,16,78,568,316
100,15,77,554,316
100,19,76,623,316
100,15,77,662,316
100,20,82,713,316
100,21,95,766,316
100,18,84,661,316
100,17,81,606,316
100,18,92,595,316
100,19,91,598,316
100,17,103,588,316
100,14,78,579,316
100,18,83,632,316
100,16,77,606,316
100,14,74,608,316
100,19,93,745,316
100,19,82,620,316
100,19,86,683,316
100,15,77,614,316
100,15,75,546,316
100,19,99,651,316
100,15,76,628,316
100,14,74,602,316
100,14,73,664,316
100,19,98,776,316
100,17,89,593,316
100,18,98,640,316
100,18,97,580,316
100,26,94,682,316
100,15,76,545,316
100,20,103,650,316
100,15,77,744,316
100,44,92,861,316
100,17,77,815,316
100,15,81,650,316
100,15,76,653,316
100,19,93,589,316
100,15,77,758,316
100,44,99,654,316
100,18,93,632,316
100,25,82,590,316
100,15,82,600,316
100,20,120,625,316
100,14,81,564,316
100,18,96,638,316
100,14,76,625,316
100,19,105,579,316
100,19,95,687,316
100,19,98,597,316
100,19,94,606,316
100,19,97,650,316
100,20,96,745,316
100,20,92,607,316
100,15,78,589,316
100,20,97,743,316
100,16,134,594,316
100,18,93,716,316
100,19,95,686,316
100,20,95,603,316
100,19,93,596,316
100,19,104,845,316
100,19,78,651,316
100,18,103,843,316
100,17,113,608,316
100,30,213,694,316
100,18,95,780,316
100,18,107,588,316
100,20,89,667,316
100,18,89,601,316
100,18,95,584,316
100,20,97,732,316
100,19,96,601,316
100,18,143,684,316
100,19,97,566,316
100,19,88,699,316
100,31,97,594,316
100,19,87,601,316
100,24,87,651,316
100,24,99,594,316
100,18,95,642,316
100,18,101,606,316
100,18,90,620,316
100,19,97,649,316
100,21,108,668,316
100,21,96,683,316
100,18,95,555,316
100,18,93,645,316
100,19,86,703,316
100,15,76,647,316
100,19,89,803,316
100,18,92,550,316
100,17,88,547,316
100,19,84,610,316
100,19,83,670,316
100,16,83,615,316
100,17,84,580,316
100,19,86,616,316
100,19,95,597,316
100,14,77,652,316
100,17,80,577,316
100,16,81,643,316
100,19,87,637,316
100,21,96,730,316
100,19,93,692,316
100,20,91,710,316
100,19,94,714,316
100,19,105,683,316
100,18,136,608,316
100,17,79,637,316
100,14,76,611,316
100,15,80,735,316
100,17,80,630,316
100,19,83,636,316
100,18,100,721,316
100,15,80,722,316
100,18,87,678,316
100,16,74,609,316
100,15,80,650,316
100,22,84,568,316
100,19,81,656,316
100,15,83,598,316
100,16,73,600,316
100,15,76,710,316
100,18,91,691,316
100,17,92,567,316
100,15,76,699,316
100,25,126,727,316
100,16,81,733,316
100,14,75,658,316
100,18,82,647,316
100,17,91,622,316
100,14,75,627,316
100,20,97,672,316
100,15,76,633,316
100,21,87,833,316
100,14,76,750,316
100,14,74,596,316
100,14,74,682,316
100,16,77,710,316
100,15,76,612,316
100,19,89,644,316
100,18,82,690,316
100,19,83,664,316
100,18,78,600,316
100,22,98,818,316
100,19,97,717,316
100,17,77,602,316
100,20,93,661,316
100,17,82,573,316
100,15,77,638,316
100,14,75,562,316
100,14,80,600,316
100,21,108,704,316
100,19,91,614,316
100,17,85,605,316
100,19,84,624,316
100,17,86,629,316
100,14,79,595,316
100,17,83,668,316
100,16,86,635,316
100,16,106,616,316
100,18,79,653,316
100,20,88,656,316
100,18,88,653,316
100,17,89,606,316
100,21,227,710,316
100,18,116,672,316
100,22,94,708,316
100,20,107,675,316
100,15,76,636,316
100,17,88,571,316
100,20,102,674,316
100,15,76,665,316
100,20,107,578,316
100,18,80,629,316
100,18,111,627,316
100,19,99,686,316
100,15,75,722,316
100,19,98,589,316
100,14,76,561,316
100,16,86,657,316
100,19,95,599,316
100,15,77,642,316
100,13,78,554,316
100,14,76,590,316
100,17,85,780,316
100,18,99,595,316
100,14,81,682,316
100,14,80,582,316
100,16,88,608,316
100,16,99,672,316
100,14,77,740,316
100,19,78,705,316
100,24,99,822,316
100,19,81,600,316
100,16,90,604,316
100,19,110,598,316
100,19,96,637,316
100,18,95,668,316
100,18,110,603,316
100,19,78,680,316
100,19,96,710,316
100,19,88,646,316
100,18,87,637,316
100,15,77,701,316
100,14,75,586,316
100,14,80,600,316
100,14,76,593,316
100,18,92,601,316
100,15,75,666,316
100,17,96,588,316
100,15,76,701,316
100,18,97,568,316
100,14,74,664,316
100,20,80,695,316
100,13,78,600,316
100,19,80,672,316
100,15,75,666,316
100,14,85,846,316
100,36,97,670,316
100,17,80,565,316
100,19,86,757,316
100,18,99,649,316
100,18,102,616,316
100,19,110,663,316
100,19,99,650,316
100,17,94,605,316
100,16,93,613,316
100,18,94,596,316
100,18,88,639,316
100,17,91,626,316
100,17,97,593,316
100,18,93,608,316
100,19,89,599,316
100,18,87,555,316
100,30,93,636,316
100,17,126,637,316
100,19,90,583,316
100,19,92,636,316
100,14,74,636,316
100,18,131,643,316
100,19,118,602,316
100,18,95,579,316
100,18,101,564,316
100,20,90,653,316
100,19,94,712,316
100,17,88,659,316
