n,rt_qs,rt_rqs,c_qs,c_rqs,dst_qs,dst_rqs
100000,22,24,1937621,1976374,16220,35
100000,22,25,1960728,2064172,16145,35
100000,23,25,2134976,2088045,16221,36
100000,22,24,2160888,1996570,16187,35
100000,22,24,2090986,2066858,16173,35
100000,23,24,2094471,2109074,16153,35
100000,22,24,1901007,2070934,16111,35
100000,23,24,1981147,1958788,16167,34
100000,22,23,2040492,2014137,16087,35
100000,22,24,2009197,2024401,16057,35
100000,23,23,2011244,2006850,16041,35
100000,22,24,2054695,1955788,16493,35
100000,23,25,2081808,1992618,16105,36
100000,27,24,1978493,2097881,15881,36
100000,23,24,2163964,2006718,15860,36
100000,23,24,2018057,1976436,15878,34
100000,23,24,2149931,1938495,15850,34
100000,24,24,1989744,1990136,15813,35
100000,23,24,1969471,1981695,15866,35
100000,21,23,1982241,1941598,15828,34
100000,22,28,2009171,2115443,16002,41
100000,23,24,2079269,1936948,16535,36
100000,22,24,2019987,2074895,15825,35
100000,23,23,1989791,2018336,15832,34
100000,22,23,2023302,2004407,15796,34
100000,22,24,2065182,2099844,15807,35
100000,23,23,1958021,2007579,15845,35
100000,23,24,2044130,1980081,15829,36
100000,22,23,1957456,1957993,15828,34
100000,22,22,2124318,1922418,15817,34
100000,22,24,2040945,2059689,15808,35
100000,23,23,1994725,1913055,15790,34
100000,21,22,1948800,1945484,15782,34
100000,21,24,2000416,1969148,15769,34
100000,24,24,2118132,2022895,15805,35
100000,22,24,2056534,2207366,15766,35
100000,22,23,2048867,1956120,15780,33
100000,21,24,1966124,1943290,15839,35
100000,22,23,2014090,2033952,15842,34
100000,22,23,1989829,1996120,15797,34
100000,22,24,1962485,2080675,15798,34
100000,22,25,1929213,2112342,15786,35
100000,22,23,1981804,1950496,15787,34
100000,22,23,1969796,1945918,15771,33
100000,22,24,2011989,2137328,15756,35
100000,21,23,1993079,2018057,15980,34
100000,22,23,1998983,2065691,15750,34
100000,23,24,2028775,1981132,15734,34
100000,22,23,1958442,1956516,15767,34
100000,22,24,2036642,1970285,15743,35
100000,22,24,2071228,1978479,15744,35
100000,22,25,2042001,2287337,15795,37
100000,23,24,1984700,1975658,15752,34
100000,22,23,1945106,1932105,15773,36
100000,22,23,1936190,1933911,15742,34
100000,21,23,2006341,1958981,15758,33
100000,22,24,1961702,2102792,15788,36
100000,23,23,2018391,2080097,15751,34
100000,22,24,2056136,2081326,15829,35
100000,22,25,2025150,2089302,15782,37
100000,22,23,2037625,1973005,15772,35
100000,22,23,1965745,2052853,15735,36
100000,22,23,1985776,1991350,15768,35
100000,21,24,1922583,2110040,15762,35
100000,21,24,2009067,2089632,15738,35
100000,24,23,2120108,2020091,15752,34
100000,23,23,2051920,2070087,15738,34
100000,21,24,1964105,1998467,15757,34
100000,21,23,2108283,1970354,16001,34
100000,21,22,1926297,1936317,15743,33
100000,23,22,1973014,1960247,15734,33
100000,23,24,1971338,2003676,15740,34
100000,22,23,1899617,2013778,15755,34
100000,22,23,1959402,2003989,15768,33
100000,22,24,2009302,2054492,15795,35
100000,24,24,2281938,1946323,15769,34
100000,23,23,2071502,1998107,15770,33
100000,22,24,2070758,2007304,16023,35
100000,21,23,2052532,1947427,15756,34
100000,22,23,2145413,1979186,15762,34
100000,22,23,2115836,1970225,15769,33
100000,23,24,2020032,2010468,15766,35
100000,21,23,1921400,2032169,15774,33
100000,21,23,1948981,2052706,15756,35
100000,22,23,1985490,2024161,15751,34
100000,22,23,2002284,1987485,15790,36
100000,22,24,1963635,2032233,15746,35
100000,24,24,2152780,1980901,15746,35
100000,23,23,2174370,2035186,15747,34
100000,22,23,2070255,1998631,15767,34
100000,23,24,2104142,1984401,15756,35
100000,23,23,2051274,1934347,15773,34
100000,22,23,2217449,1940891,15766,34
100000,21,25,1992474,2059654,15795,36
100000,23,24,1982719,2111255,15776,35
100000,22,25,1997108,2039087,15816,36
100000,23,23,2049642,2026766,15759,33
100000,22,23,1941944,1918734,15746,34
100000,21,23,1909783,1988940,15761,35
100000,22,25,2017146,2054638,15811,35
100000,22,22,1934991,1932242,15764,33
100000,21,23,1987087,1974916,15764,34
100000,22,24,1943950,1999160,15734,35
100000,22,23,1971859,1952647,15753,34
100000,24,23,2304767,1976539,15757,35
100000,24,23,2034710,2108530,15769,34
100000,22,22,1977611,2019283,15722,33
100000,22,24,2029174,2022141,15810,35
100000,23,23,2099602,2043827,15787,34
100000,22,23,1938682,1995475,15736,34
100000,21,23,2009241,1950592,15779,33
100000,21,26,1972448,2055728,15739,36
100000,22,24,2044040,1959708,15755,34
100000,22,23,2034774,2020231,15746,34
100000,21,23,2032619,2028290,15760,34
100000,23,24,1988124,1982562,15730,35
100000,24,24,1930629,2063628,15732,35
100000,22,23,2016000,1982827,15734,34
100000,22,23,2003375,1974724,15751,34
100000,22,23,2016893,2037148,15744,35
100000,22,22,1938812,1919839,15717,33
100000,23,24,2016061,2055687,15732,35
100000,24,23,2139876,1935384,15742,33
100000,23,25,2287715,1948473,15772,36
100000,23,24,2105419,1969713,15726,35
100000,24,23,2129827,1934693,15753,34
100000,22,24,2061322,1939231,15731,35
100000,23,23,1974865,1988265,15709,34
100000,22,25,1988204,2081014,15711,36
100000,22,23,1955739,1942468,15708,33
100000,23,22,1939492,1949358,15688,33
100000,23,23,2097339,1959201,15747,34
100000,22,24,1929336,2009221,15678,35
100000,22,23,1987845,1900754,15713,34
100000,23,23,2083215,1909429,15983,33
100000,21,23,2064373,1945982,15686,34
100000,22,23,2034041,1946083,15669,34
100000,21,23,1980824,1995486,15697,35
100000,23,24,1947119,2068498,15711,34
100000,22,25,1974489,2103978,15701,36
100000,22,24,2057619,1995843,15754,35
100000,22,24,1978889,2101407,15722,35
100000,21,23,1977071,2002207,15722,34
100000,22,23,1926474,2037674,15694,33
100000,22,23,1963125,1982745,15714,34
100000,21,24,1936937,2175110,15717,36
100000,22,23,2010376,1991246,15723,33
100000,22,24,1883802,2156619,15716,35
100000,22,24,2006120,1994460,15719,35
100000,21,22,2057816,2025521,15747,33
100000,21,23,1975467,2034584,15741,35
100000,22,23,2043735,1996070,15726,33
100000,22,24,1982018,2059955,15695,37
100000,23,24,2135547,2022588,15699,35
100000,23,23,2086206,2006685,15710,34
100000,21,23,1891986,1943848,15681,34
100000,22,23,2077282,2181614,15690,34
100000,22,24,2075632,1945439,15700,34
100000,23,25,2081667,2036731,15718,36
100000,22,24,1985634,2144627,15715,35
100000,22,23,2049946,1911785,15689,34
100000,22,25,2139694,2058636,15718,37
100000,22,23,1940605,2031591,15691,34
100000,22,23,2022078,1963780,15726,34
100000,21,23,1982976,1929825,15701,33
100000,21,24,1939933,2103742,15752,34
100000,22,25,2101073,2046070,15725,35
100000,22,23,2067557,2078876,15700,34
100000,22,24,1952650,2066324,15708,34
100000,22,24,1999750,2011763,15701,35
100000,22,23,2049695,2027127,15732,34
100000,21,23,2007348,1983083,15700,34
100000,22,24,1978696,2116519,15730,34
100000,22,23,2020680,1960173,15726,34
100000,21,23,1930283,1980473,15695,34
100000,22,24,2025599,1926846,15712,34
100000,24,24,2123257,2114316,15702,34
100000,21,23,2015131,1945740,15713,34
100000,22,23,1972255,1935740,15706,34
100000,22,23,1961963,2139894,15724,34
100000,21,23,1953852,1938307,15761,34
100000,22,25,1986140,2154033,15761,37
100000,21,23,1984803,2107497,15995,33
100000,24,24,2050429,1969678,15783,35
100000,22,23,1945283,2064031,15774,34
100000,24,24,2070372,1991042,15747,36
100000,23,22,2047990,1936090,15740,34
100000,23,23,2140201,2084832,15770,33
100000,21,26,2078435,1962369,15727,38
100000,23,24,2039687,2024536,15757,35
100000,23,22,2069058,1891098,15740,33
100000,21,25,1981368,2081587,16433,35
100000,21,24,2059701,1996116,15757,35
100000,24,24,2231178,1998833,15742,35
100000,22,23,1926952,1972256,15752,34
100000,23,24,2052247,2187198,15732,35
100000,22,22,2097360,1953217,15753,33
100000,22,24,2075703,2003370,15722,35
100000,22,25,1980903,2006440,15745,36
100000,23,24,2020832,1968159,15741,36
