n,rt_qs,c_qs
100,13,649
100,14,695
100,13,635
100,13,605
100,12,650
100,10,603
100,13,733
100,12,605
100,13,680
100,12,632
100,13,604
100,13,697
100,9,621
100,12,895
100,12,676
100,10,590
100,12,580
100,14,828
100,11,732
100,9,682
100,10,635
100,13,651
100,13,617
100,10,721
100,10,648
100,10,812
100,9,560
100,10,730
100,11,696
100,10,685
100,10,599
100,9,610
100,10,560
100,14,776
100,10,610
100,9,589
100,10,571
100,13,670
100,9,553
100,10,629
100,10,598
100,10,623
100,10,583
100,9,676
100,13,652
100,10,655
100,14,740
100,11,627
100,10,595
100,10,635
100,10,613
100,10,675
100,17,618
100,9,680
100,10,724
100,10,599
100,10,653
100,10,691
100,10,679
100,13,670
100,11,664
100,10,712
100,10,611
100,9,642
100,10,670
100,10,758
100,10,587
100,10,657
100,11,830
100,10,576
100,10,639
100,9,602
100,10,572
100,9,656
100,9,722
100,10,657
100,14,609
100,13,609
100,16,646
100,12,674
100,14,595
100,12,569
100,144,646
100,10,611
100,9,612
100,11,667
100,10,686
100,10,592
100,10,664
100,11,764
100,9,671
100,9,648
100,11,628
100,10,547
100,9,584
100,8,606
100,9,586
100,9,575
100,9,610
100,9,649
100,8,601
100,8,551
100,9,622
100,11,788
100,11,550
100,11,617
100,10,562
100,10,593
100,11,598
100,12,781
100,11,585
100,9,596
100,8,631
100,11,750
100,9,602
100,9,564
100,8,597
100,12,669
100,12,580
100,8,603
100,10,674
100,10,695
100,9,601
100,8,572
100,8,744
100,8,558
100,10,604
100,8,622
100,9,611
100,9,732
100,8,622
100,8,682
100,9,605
100,8,645
100,7,557
100,8,673
100,8,627
100,9,635
100,13,622
100,10,580
100,12,590
100,25,599
100,14,723
100,15,884
100,31,650
100,8,605
100,20,772
100,13,601
100,10,598
100,10,612
100,9,731
100,8,592
100,8,543
100,9,590
100,13,651
100,14,737
100,12,767
100,10,541
100,17,796
100,13,664
100,8,602
100,9,701
100,8,575
100,9,616
100,13,561
100,13,679
100,13,771
100,13,713
100,10,611
100,11,636
100,9,672
100,10,630
100,10,697
100,10,793
100,9,730
100,8,566
100,9,652
100,14,655
100,12,622
100,11,651
100,8,571
100,17,568
100,11,558
100,12,711
100,12,615
100,11,672
100,12,611
100,25,657
100,10,606
100,18,617
100,11,799
100,11,719
100,11,577
100,15,631
100,9,611
100,10,601
100,10,636
100,11,559
100,9,610
100,9,670
100,16,687
100,21,992
100,9,739
100,8,672
100,13,692
100,9,625
100,11,573
100,12,726
100,10,620
100,11,628
100,12,586
100,9,671
100,11,633
100,11,697
100,9,613
100,12,633
100,13,596
100,14,674
100,8,719
100,12,595
100,11,641
100,23,614
100,16,574
100,14,675
100,10,653
100,9,691
100,14,630
100,9,653
100,9,597
100,11,746
100,9,714
100,9,657
100,8,594
100,8,581
100,9,598
100,9,654
100,10,655
100,13,619
100,17,607
100,12,652
100,9,582
100,8,643
100,9,632
100,9,606
100,9,638
100,9,624
