n,max_load,rounds,
1000,3,4000,
1000,3,3998,
1000,3,3996,
1000,3,3994,
1000,3,3992,
1000,3,3990,
1000,3,3988,
1000,3,3986,
1000,3,3984,
1000,3,3982,
1000,3,3980,
1000,3,3978,
1000,3,3976,
1000,3,3974,
1000,3,3972,
1000,3,3970,
1000,3,3968,
1000,3,3966,
1000,3,3964,
1000,3,3962,
1000,3,3960,
1000,3,3958,
1000,3,3956,
1000,3,3954,
1000,3,3952,
1000,3,3950,
1000,3,3948,
1000,3,3946,
1000,3,3944,
1000,4,3942,
1000,3,3940,
1000,3,3938,
1000,3,3936,
1000,3,3934,
1000,3,3932,
1000,3,3930,
1000,3,3928,
1000,3,3926,
1000,3,3924,
1000,3,3922,
1000,3,3920,
1000,3,3918,
1000,3,3916,
1000,3,3914,
1000,3,3912,
1000,3,3910,
1000,3,3908,
1000,3,3906,
1000,3,3904,
1000,3,3902,
1000,3,3900,
1000,3,3898,
1000,3,3896,
1000,3,3894,
1000,3,3892,
1000,3,3890,
1000,3,3888,
1000,3,3886,
1000,3,3884,
1000,3,3882,
1000,3,3880,
1000,3,3878,
1000,3,3876,
1000,3,3874,
1000,3,3872,
1000,3,3870,
1000,3,3868,
1000,3,3866,
1000,3,3864,
1000,3,3862,
1000,3,3860,
1000,3,3858,
1000,3,3856,
1000,3,3854,
1000,3,3852,
1000,3,3850,
1000,3,3848,
1000,3,3846,
1000,3,3844,
1000,3,3842,
1000,3,3840,
1000,3,3838,
1000,3,3836,
1000,3,3834,
1000,3,3832,
1000,3,3830,
1000,3,3828,
1000,3,3826,
1000,3,3824,
1000,3,3822,
1000,3,3820,
1000,3,3818,
1000,3,3816,
1000,3,3814,
1000,3,3812,
1000,3,3810,
1000,3,3808,
1000,3,3806,
1000,3,3804,
1000,3,3802,
1000,3,3800,
1000,3,3798,
1000,3,3796,
1000,3,3794,
1000,3,3792,
1000,3,3790,
1000,3,3788,
1000,3,3786,
1000,3,3784,
1000,3,3782,
1000,3,3780,
1000,3,3778,
1000,3,3776,
1000,3,3774,
1000,3,3772,
1000,3,3770,
1000,3,3768,
1000,3,3766,
1000,3,3764,
1000,3,3762,
1000,3,3760,
1000,3,3758,
1000,3,3756,
1000,3,3754,
1000,3,3752,
1000,3,3750,
1000,3,3748,
1000,3,3746,
1000,3,3744,
1000,3,3742,
1000,3,3740,
1000,3,3738,
1000,3,3736,
1000,3,3734,
1000,3,3732,
1000,3,3730,
1000,4,3728,
1000,3,3726,
1000,3,3724,
1000,3,3722,
1000,3,3720,
1000,3,3718,
1000,3,3716,
1000,3,3714,
1000,3,3712,
1000,3,3710,
1000,3,3708,
1000,3,3706,
1000,3,3704,
1000,3,3702,
1000,3,3700,
1000,3,3698,
1000,3,3696,
1000,3,3694,
1000,3,3692,
1000,3,3690,
1000,3,3688,
1000,3,3686,
1000,3,3684,
1000,3,3682,
1000,3,3680,
1000,3,3678,
1000,3,3676,
1000,3,3674,
1000,3,3672,
1000,3,3670,
1000,3,3668,
1000,3,3666,
1000,3,3664,
1000,3,3662,
1000,3,3660,
1000,3,3658,
1000,3,3656,
1000,3,3654,
1000,3,3652,
1000,3,3650,
1000,3,3648,
1000,3,3646,
1000,3,3644,
1000,3,3642,
1000,3,3640,
1000,3,3638,
1000,3,3636,
1000,3,3634,
1000,3,3632,
1000,3,3630,
1000,3,3628,
1000,3,3626,
1000,3,3624,
1000,3,3622,
1000,3,3620,
1000,3,3618,
1000,3,3616,
1000,3,3614,
1000,3,3612,
1000,3,3610,
1000,3,3608,
1000,3,3606,
1000,3,3604,
1000,3,3602,
1000,3,3600,
1000,3,3598,
1000,3,3596,
1000,3,3594,
1000,3,3592,
1000,3,3590,
1000,3,3588,
1000,3,3586,
1000,3,3584,
1000,3,3582,
1000,3,3580,
1000,3,3578,
1000,3,3576,
1000,3,3574,
1000,3,3572,
1000,3,3570,
1000,3,3568,
1000,3,3566,
1000,3,3564,
1000,3,3562,
1000,3,3560,
1000,3,3558,
1000,3,3556,
1000,3,3554,
1000,3,3552,
1000,3,3550,
1000,3,3548,
1000,3,3546,
1000,3,3544,
1000,3,3542,
1000,3,3540,
1000,3,3538,
1000,3,3536,
1000,3,3534,
1000,3,3532,
1000,3,3530,
1000,3,3528,
1000,3,3526,
1000,3,3524,
1000,3,3522,
1000,3,3520,
1000,3,3518,
1000,3,3516,
1000,3,3514,
1000,3,3512,
1000,3,3510,
1000,3,3508,
1000,3,3506,
1000,3,3504,
1000,3,3502,
1000,3,3500,
1000,3,3498,
1000,3,3496,
1000,3,3494,
1000,3,3492,
1000,3,3490,
1000,3,3488,
1000,3,3486,
1000,3,3484,
1000,3,3482,
1000,3,3480,
1000,3,3478,
1000,3,3476,
1000,3,3474,
1000,3,3472,
1000,3,3470,
1000,3,3468,
1000,3,3466,
1000,3,3464,
1000,3,3462,
1000,3,3460,
1000,3,3458,
1000,3,3456,
1000,3,3454,
1000,3,3452,
1000,3,3450,
1000,3,3448,
1000,3,3446,
1000,3,3444,
1000,3,3442,
1000,3,3440,
1000,3,3438,
1000,3,3436,
1000,3,3434,
1000,3,3432,
1000,3,3430,
1000,3,3428,
1000,3,3426,
1000,3,3424,
1000,3,3422,
1000,3,3420,
1000,3,3418,
1000,3,3416,
1000,3,3414,
1000,3,3412,
1000,3,3410,
1000,3,3408,
1000,3,3406,
1000,3,3404,
1000,3,3402,
1000,3,3400,
1000,3,3398,
1000,3,3396,
1000,3,3394,
1000,3,3392,
1000,3,3390,
1000,3,3388,
1000,3,3386,
1000,3,3384,
1000,3,3382,
1000,3,3380,
1000,3,3378,
1000,3,3376,
1000,3,3374,
1000,3,3372,
1000,3,3370,
1000,3,3368,
1000,3,3366,
1000,3,3364,
1000,3,3362,
1000,3,3360,
1000,3,3358,
1000,3,3356,
1000,3,3354,
1000,3,3352,
1000,3,3350,
1000,3,3348,
1000,3,3346,
1000,3,3344,
1000,3,3342,
1000,3,3340,
1000,3,3338,
1000,3,3336,
1000,3,3334,
1000,3,3332,
1000,3,3330,
1000,3,3328,
1000,3,3326,
1000,3,3324,
1000,3,3322,
1000,3,3320,
1000,3,3318,
1000,3,3316,
1000,3,3314,
1000,3,3312,
1000,3,3310,
1000,3,3308,
1000,3,3306,
1000,3,3304,
1000,3,3302,
1000,3,3300,
1000,3,3298,
1000,3,3296,
1000,3,3294,
1000,3,3292,
1000,3,3290,
1000,3,3288,
1000,3,3286,
1000,3,3284,
1000,3,3282,
1000,3,3280,
1000,3,3278,
