n,max_load,rounds
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
1000,3,2
